t_s,x_px,y_px
13.0000,888.54,1105.90
13.0400,842.36,1114.88
13.0800,732.63,1130.97
13.1200,670.51,1136.18
13.1600,605.46,1139.26
13.2000,540.10,1139.59
13.2400,476.60,1137.47
13.2800,360.95,1125.95
13.3200,307.74,1118.20
13.3600,262.23,1109.60
13.4000,225.34,1100.84
13.4400,175.58,1087.76
13.4800,163.16,1084.10
13.5200,159.15,1082.80
13.5600,163.16,1083.74
13.6000,175.16,1086.97
13.6400,222.90,1099.24
13.6800,257.53,1106.84
13.7200,298.85,1114.91
13.7600,347.35,1122.46
13.8000,399.04,1128.86
13.8400,509.75,1136.76
13.8800,569.28,1138.03
13.9200,629.71,1136.92
13.9600,688.26,1133.17
14.0000,743.91,1127.53
14.0400,843.83,1113.16
14.0800,885.75,1105.10
14.1200,920.88,1097.46
14.1600,948.64,1090.94
14.2000,968.16,1086.20
14.2400,979.40,1083.54
14.2800,970.32,1085.92
14.3200,951.83,1090.71
14.3600,924.17,1097.22
14.4000,888.37,1105.53
14.4400,793.53,1122.37
14.4800,737.77,1130.02
14.5200,677.91,1135.41
14.5600,614.37,1138.51
14.6000,549.68,1139.06
14.6400,428.34,1132.91
14.6800,372.78,1127.17
14.7200,320.10,1119.73
14.7600,274.18,1111.53
14.8000,236.42,1103.14
14.8400,185.14,1089.98
14.8800,171.53,1086.21
14.9200,166.37,1084.68
14.9600,168.87,1085.32
15.0000,179.47,1088.11
15.0400,223.48,1099.38
15.0800,256.38,1107.03
15.1200,296.61,1115.16
15.1600,343.33,1122.73
15.2000,393.93,1129.35
15.2400,501.98,1137.28
15.2800,560.23,1138.51
15.3200,620.33,1137.67
15.3600,677.92,1134.48
15.4000,733.53,1129.73
15.4400,833.49,1115.77
15.4800,874.75,1107.71
15.5200,911.17,1100.26
15.5600,938.95,1093.76
15.6000,958.97,1088.77
15.6400,972.25,1085.35
15.6800,964.84,1087.35
15.7200,947.76,1091.57
15.7600,921.56,1097.56
15.8000,887.31,1105.25
15.8400,796.67,1121.37
15.8800,742.13,1128.34
15.9200,684.33,1134.11
15.9600,623.10,1137.60
16.0000,558.78,1138.77
16.0400,439.38,1133.62
16.0800,384.97,1128.33
16.1200,332.28,1121.23
16.1600,285.79,1113.47
16.2000,247.56,1105.28
16.2400,194.44,1092.51
16.2800,179.49,1088.58
16.3200,173.06,1086.84
16.3600,173.80,1087.20
16.4000,183.04,1089.71
16.4400,224.27,1100.24
16.4800,255.73,1107.65
16.5200,294.14,1115.65
16.5600,339.69,1122.64
16.6000,389.05,1129.52
16.6400,495.64,1137.77
16.6800,552.49,1139.26
16.7200,611.42,1138.90
16.7600,668.98,1136.04
16.8000,723.26,1131.32
16.8400,822.70,1117.83
16.8800,864.44,1110.38
16.9200,900.66,1102.70
16.9600,929.15,1095.94
17.0000,962.04,1087.89
17.0400,965.23,1086.89
17.0800,958.99,1088.24
17.1200,943.60,1091.91
17.1600,919.10,1097.35
17.2000,845.67,1112.42
17.2400,799.10,1120.02
17.2800,746.87,1127.32
17.3200,689.98,1132.93
17.3600,630.16,1136.55
17.4000,508.20,1136.95
17.4400,450.45,1133.90
17.4800,396.08,1128.94
17.5200,344.23,1122.06
17.5600,297.52,1114.77
17.6000,226.42,1100.43
17.6400,202.81,1094.82
17.6800,187.46,1090.76
17.7200,179.46,1088.62
17.7600,179.43,1088.68
17.8000,203.38,1095.60
17.8400,226.49,1101.38
17.8800,256.65,1108.37
17.9200,294.32,1115.78
17.9600,338.15,1123.20
18.0000,437.35,1134.64
18.0400,490.75,1138.66
18.0800,546.49,1140.10
18.1200,604.30,1139.37
18.1600,660.58,1136.64
18.2000,765.94,1126.15
18.2400,813.47,1119.12
18.2800,854.65,1111.54
18.3200,891.04,1104.25
18.3600,919.56,1097.55
18.4000,953.82,1089.23
18.4400,957.64,1087.95
18.4800,952.82,1089.18
18.5200,938.37,1092.10
18.5600,915.60,1097.65
18.6000,845.25,1111.79
18.6400,800.43,1119.12
18.6800,749.38,1126.54
18.7200,694.42,1131.71
18.7600,635.95,1135.67
18.8000,515.62,1136.71
18.8400,458.19,1133.72
18.8800,404.11,1129.61
18.9200,353.18,1123.67
18.9600,306.43,1116.78
19.0000,234.20,1102.65
19.0400,209.90,1096.59
19.0800,193.73,1093.44
19.1200,185.11,1091.43
19.1600,184.52,1091.21
19.2000,205.44,1097.25
19.2400,227.57,1102.65
19.2800,256.84,1109.60
19.3200,292.50,1116.83
19.3600,335.52,1123.86
19.4000,433.00,1134.97
19.4400,485.23,1138.34
19.4800,540.12,1140.23
19.5200,596.51,1140.13
19.5600,652.27,1137.33
19.6000,756.12,1127.38
19.6400,803.34,1120.29
19.6800,844.70,1113.47
19.7200,880.84,1106.11
19.7600,910.02,1099.45
19.8000,945.37,1090.60
19.8400,950.05,1089.07
19.8800,945.93,1090.11
19.9200,932.94,1092.85
19.9600,911.23,1097.92
20.0000,844.40,1111.24
20.0400,800.87,1118.30
20.0800,751.33,1125.47
20.1200,697.63,1130.90
20.1600,640.80,1135.30
20.2000,523.16,1137.15
20.2400,466.35,1134.95
20.2800,412.61,1130.60
20.3200,361.86,1124.94
20.3600,314.92,1118.61
20.4000,242.35,1105.42
20.4400,217.60,1099.95
20.4800,200.59,1096.04
20.5200,191.15,1093.71
20.5600,195.22,1095.35
20.6000,208.36,1098.74
20.6400,229.66,1104.10
20.6800,257.20,1110.52
20.7200,292.54,1117.75
20.7600,379.81,1130.54
20.8000,428.32,1135.36
20.8400,479.64,1138.62
20.8800,533.39,1140.09
20.9200,589.02,1139.73
20.9600,697.18,1133.40
21.0000,747.07,1128.44
21.0400,793.71,1121.27
21.0800,835.34,1114.62
21.1200,871.50,1107.44
21.1600,922.87,1095.37
21.2000,936.83,1091.94
21.2400,942.49,1090.40
21.2800,939.68,1090.87
21.3200,927.54,1093.27
21.3600,878.67,1104.12
21.4000,842.97,1110.79
21.4400,800.75,1117.80
21.4800,753.41,1124.77
21.5200,701.36,1130.48
21.5600,587.36,1136.75
21.6000,528.72,1137.05
21.6400,472.97,1135.13
21.6800,419.81,1131.36
21.7200,370.08,1126.35
21.7600,282.98,1113.84
21.8000,250.21,1107.50
21.8400,224.74,1101.20
21.8800,207.10,1098.13
21.9200,197.20,1095.80
21.9600,199.66,1096.92
22.0000,212.11,1100.33
22.0400,231.72,1105.12
22.0800,258.06,1110.80
22.1200,291.67,1117.27
22.1600,377.19,1130.10
22.2000,424.84,1134.91
22.2400,475.11,1138.36
22.2800,527.98,1140.15
22.3200,582.77,1139.86
22.3600,689.70,1133.85
22.4000,739.62,1128.51
22.4400,785.78,1122.01
22.4800,826.99,1115.05
22.5200,862.51,1108.37
22.5600,914.43,1096.76
22.6000,928.99,1093.08
22.6400,935.26,1091.23
22.6800,933.27,1091.44
22.7200,922.19,1093.64
22.7600,876.14,1103.76
22.8000,841.50,1110.35
22.8400,800.78,1117.53
22.8800,754.63,1124.52
22.9200,703.47,1130.09
22.9600,592.58,1136.86
23.0000,535.10,1137.30
23.0400,480.12,1135.87
23.0800,427.26,1132.52
23.1200,377.88,1127.77
23.1600,291.21,1115.98
23.2000,258.11,1109.89
23.2400,232.34,1104.59
23.2800,213.88,1100.38
23.3200,203.17,1098.28
23.3600,204.02,1098.82
23.4000,215.42,1101.81
23.4400,234.25,1106.25
23.4800,259.99,1111.57
23.5200,292.41,1117.23
23.5600,375.74,1129.58
23.6000,422.66,1134.51
23.6400,472.05,1137.83
23.6800,523.77,1139.47
23.7200,577.70,1139.47
23.7600,682.90,1133.89
23.8000,732.43,1128.91
23.8400,777.63,1122.62
23.8800,818.55,1115.66
23.9200,853.75,1109.43
23.9600,905.83,1096.77
24.0000,920.95,1094.15
24.0400,927.38,1091.14
24.0800,926.34,1092.16
24.1200,898.05,1098.55
24.1600,872.28,1104.05
24.2000,839.05,1110.23
24.2400,799.93,1117.08
24.2800,755.02,1123.96
24.3200,652.45,1133.97
24.3600,596.98,1136.95
24.4000,540.65,1137.61
24.4400,486.35,1136.82
24.4800,434.03,1133.70
24.5200,339.10,1123.63
24.5600,298.49,1117.67
24.6000,264.84,1111.50
24.6400,238.61,1106.70
24.6800,219.67,1102.59
24.7200,204.62,1099.65
24.7600,207.95,1100.62
24.8000,218.72,1103.18
24.8400,236.95,1107.11
24.8800,261.72,1112.32
24.9200,332.49,1124.16
24.9600,375.67,1129.65
25.0000,421.48,1134.41
25.0400,469.90,1137.38
25.0800,520.82,1139.22
25.1200,625.98,1137.37
25.1600,676.88,1133.89
25.2000,725.73,1129.22
25.2400,770.32,1123.07
25.2800,811.10,1116.30
25.3200,875.06,1103.91
25.3600,897.83,1098.71
25.4000,913.14,1095.12
25.4400,920.61,1093.10
25.4800,919.83,1093.22
25.5200,893.91,1099.17
25.5600,869.25,1104.44
25.6000,837.45,1110.89
25.6400,800.30,1117.31
25.6800,756.06,1124.14
25.7200,655.93,1134.43
25.7600,601.70,1137.31
25.8000,545.62,1138.42
25.8400,491.92,1137.39
25.8800,440.25,1134.67
25.9200,345.81,1125.29
25.9600,304.87,1119.57
26.0000,271.45,1113.94
26.0400,244.58,1108.76
26.0800,225.43,1104.55
26.1200,209.79,1101.10
26.1600,212.81,1102.12
26.2000,223.00,1104.62
26.2400,240.69,1108.24
26.2800,264.98,1113.22
26.3200,333.76,1124.01
26.3600,375.93,1129.13
26.4000,421.08,1133.44
26.4400,468.09,1136.47
26.4800,517.97,1138.84
26.5200,620.53,1137.02
26.5600,670.90,1133.89
26.6000,718.76,1129.27
26.6400,763.09,1123.62
26.6800,803.18,1117.14
26.7200,867.26,1105.01
26.7600,890.41,1100.05
26.8000,906.04,1096.53
26.8400,914.14,1094.53
26.8800,914.27,1094.68
26.9200,890.14,1100.40
26.9600,866.61,1105.59
27.0000,836.09,1111.65
27.0400,799.26,1118.09
27.0800,756.58,1124.50
27.1200,658.27,1134.66
27.1600,604.48,1137.59
27.2000,549.86,1138.83
27.2400,496.24,1138.18
27.2800,445.21,1135.49
27.3200,351.77,1126.38
27.3600,311.53,1121.15
27.4000,277.91,1115.38
27.4400,251.44,1110.23
27.4800,232.19,1106.28
27.5200,215.78,1102.15
27.5600,218.51,1102.27
27.6000,228.49,1105.49
27.6400,245.21,1109.05
27.6800,298.72,1118.19
27.7200,335.36,1123.99
27.7600,376.50,1128.92
27.8000,419.89,1133.12
27.8400,466.26,1136.26
27.8800,564.91,1138.32
27.9200,615.68,1136.87
27.9600,664.98,1133.78
28.0000,711.85,1129.23
28.0400,755.86,1124.14
