t_s,theta_teo_rad,omega_teo_rad_s,alpha_teo_rad_s2,theta_sim_rad,omega_sim_rad_s,alpha_sim_rad_s2
5.6800,0.270525,-0.455664,-5.448929,0.218971,-0.658930,-4.331258
5.7200,0.248049,-0.665130,-4.996211,0.189279,-0.821730,-3.743297
5.7600,0.217600,-0.853218,-4.382910,0.153582,-0.958394,-3.034122
5.8000,0.180157,-1.013883,-3.628739,0.113016,-1.064460,-2.225316
5.8400,0.136924,-1.141960,-2.757937,0.068880,-1.136419,-1.342707
5.8800,0.089290,-1.233334,-1.798493,0.022590,-1.171876,-0.415552
5.9200,0.038787,-1.285068,-0.781244,-0.024367,-1.169664,0.524691
5.9600,-0.012964,-1.295499,0.261115,-0.070482,-1.129901,1.445909
6.0000,-0.064297,-1.264291,1.295082,-0.114277,-1.053991,2.316967
6.0400,-0.113565,-1.192448,2.287423,-0.154354,-0.944544,3.109209
6.0800,-0.159182,-1.082278,3.206245,-0.189442,-0.805254,3.797643
6.1200,-0.199683,-0.937324,4.022016,-0.218437,-0.640732,4.361676
6.1600,-0.233765,-0.762243,4.708516,-0.240435,-0.456320,4.785420
6.2000,-0.260335,-0.562662,5.243680,-0.254756,-0.257899,5.057649
6.2400,-0.278537,-0.344998,5.610308,-0.260963,-0.051708,5.171567
6.2800,-0.287787,-0.116245,5.796615,-0.258875,0.155826,5.124555
6.3200,-0.287787,0.116245,5.796615,-0.248565,0.358256,4.918033
6.3600,-0.278537,0.344998,5.610308,-0.230367,0.549269,4.557485
6.4000,-0.260335,0.562662,5.243680,-0.204856,0.722855,4.052640
6.4400,-0.233765,0.762243,4.708516,-0.172845,0.873480,3.417700
6.4800,-0.199683,0.937324,4.022016,-0.135350,0.996271,2.671455
6.5200,-0.159182,1.082278,3.206245,-0.093568,1.087197,1.837126
6.5600,-0.113565,1.192448,2.287423,-0.048839,1.143241,0.941820
6.6000,-0.064297,1.264291,1.295082,-0.002599,1.162542,0.015542
6.6400,-0.012964,1.295499,0.261115,0.043665,1.144484,-0.910167
6.6800,0.038787,1.285068,-0.781244,0.088469,1.089729,-1.803804
6.7200,0.089290,1.233334,-1.798493,0.130379,1.000180,-2.635479
6.7600,0.136924,1.141960,-2.757937,0.168060,0.878891,-3.378279
6.8000,0.180157,1.013883,-3.628739,0.200321,0.729918,-4.009249
6.8400,0.217600,0.853218,-4.382910,0.226149,0.558151,-4.509945
6.8800,0.248049,0.665130,-4.996211,0.244743,0.369122,-4.866577
6.9200,0.270525,0.455664,-5.448929,0.255529,0.168824,-5.069890
6.9600,0.284306,0.231553,-5.726515,0.258182,-0.036469,-5.114912
7.0000,0.288950,-0.000000,-5.820045,0.252630,-0.240368,-5.000753
7.0400,0.284306,-0.231553,-5.726515,0.239056,-0.436529,-4.730533
7.0800,0.270525,-0.455664,-5.448929,0.217893,-0.618811,-4.311481
7.1200,0.248049,-0.665130,-4.996211,0.189813,-0.781448,-3.755133
7.1600,0.217600,-0.853218,-4.382910,0.155709,-0.919222,-3.077519
7.2000,0.180157,-1.013883,-3.628739,0.116667,-1.027649,-2.299168
7.2400,0.136924,-1.141960,-2.757937,0.073936,-1.103155,-1.444790
7.2800,0.089290,-1.233334,-1.798493,0.028888,-1.143232,-0.542546
7.3200,0.038787,-1.285068,-0.781244,-0.017032,-1.146559,0.377094
7.3600,-0.012964,-1.295499,0.261115,-0.062346,-1.113065,1.282795
7.4000,-0.064297,-1.264291,1.295082,-0.105601,-1.043935,2.143938
7.4400,-0.113565,-1.192448,2.287423,-0.145417,-0.941550,2.932089
7.4800,-0.159182,-1.082278,3.206245,-0.180527,-0.809368,3.622200
7.5200,-0.199683,-0.937324,4.022016,-0.209827,-0.651774,4.193401
7.5600,-0.233765,-0.762243,4.708516,-0.232399,-0.473896,4.629366
7.6000,-0.260335,-0.562662,5.243680,-0.247544,-0.281424,4.918347
7.6400,-0.278537,-0.344998,5.610308,-0.254799,-0.080428,5.052984
7.6800,-0.287787,-0.116245,5.796615,-0.253948,0.122814,5.030082
7.7200,-0.287787,0.116245,5.796615,-0.245028,0.321978,4.850456
7.7600,-0.278537,0.344998,5.610308,-0.228327,0.510851,4.518939
7.8000,-0.260335,0.562662,5.243680,-0.204377,0.683493,4.044524
