t_s,theta_rad,omega_rad_s,alpha_rad_s2
13.0800,0.108713,-0.930372,-1.530903
13.1200,0.070746,-0.974489,-0.998537
13.1600,0.030754,-1.010255,-0.759784
13.2000,-0.010075,-1.035272,-0.185030
13.2400,-0.052068,-1.025057,1.169074
13.2800,-0.092079,-0.941746,2.462162
13.3200,-0.127407,-0.828084,2.941854
13.3600,-0.158326,-0.706398,3.103532
13.4000,-0.183919,-0.579802,3.481370
13.4400,-0.204710,-0.427888,4.196998
13.4800,-0.218150,-0.244042,4.618877
13.5200,-0.224233,-0.058378,4.659163
13.5600,-0.222820,0.128691,4.636881
13.6000,-0.213938,0.312573,4.547683
13.6400,-0.197814,0.492506,4.048758
13.6800,-0.174538,0.636473,3.253173
13.7200,-0.146897,0.752760,2.842893
13.7600,-0.114317,0.863905,2.680740
13.8000,-0.077784,0.967219,2.193981
13.8400,-0.036939,1.039423,0.848408
13.8800,0.005370,1.035091,-0.557919
13.9200,0.045868,0.994790,-1.118480
13.9600,0.084953,0.945613,-1.322397
14.0000,0.121517,0.888998,-1.970407
14.0400,0.156073,0.787980,-3.140934
14.0800,0.184555,0.637723,-3.836936
14.1200,0.207090,0.481025,-4.096933
14.1600,0.223037,0.309969,-4.310421
14.2000,0.231888,0.136192,-4.314164
14.2400,0.233933,-0.035165,-4.354606
14.2800,0.229075,-0.212177,-4.417445
14.3200,0.216959,-0.388560,-4.254761
14.3600,0.197990,-0.552558,-4.022052
14.4000,0.172754,-0.710324,-3.388027
14.4400,0.141164,-0.823600,-2.333431
14.4800,0.106866,-0.896999,-1.736747
14.5200,0.069404,-0.962540,-1.291391
14.5600,0.029863,-1.000310,-0.817145
14.6000,-0.010621,-1.027911,0.023673
14.6400,-0.052370,-0.998416,1.440255
14.6800,-0.090494,-0.912691,2.246179
14.7200,-0.125385,-0.818722,2.654675
14.7600,-0.155992,-0.700317,3.020281
14.8000,-0.181411,-0.577099,3.407569
14.8400,-0.202160,-0.427711,4.138922
14.8800,-0.215628,-0.245986,4.570333
14.9200,-0.221839,-0.062085,4.624113
14.9600,-0.220594,0.123943,4.610621
15.0000,-0.211923,0.306765,4.231713
15.0400,-0.196053,0.462480,3.679103
15.0800,-0.174925,0.601093,3.430382
15.1200,-0.147966,0.736911,3.119584
15.1600,-0.115972,0.850660,2.738467
15.2000,-0.079913,0.955988,1.913075
15.2400,-0.039493,1.003706,0.505673
15.2800,0.000384,0.996442,-0.289442
15.3200,0.040223,0.980551,-0.749572
15.3600,0.078828,0.936476,-1.196174
15.4000,0.115141,0.884857,-1.853542
15.4400,0.149616,0.788193,-3.025067
15.4800,0.178196,0.642852,-3.708053
15.5200,0.201044,0.491549,-3.967637
15.5600,0.217520,0.325441,-4.190208
15.6000,0.227080,0.156332,-4.216579
15.6400,0.230027,-0.011886,-4.294046
15.6800,0.226129,-0.187192,-4.371456
15.7200,0.215051,-0.361602,-4.216510
15.7600,0.197201,-0.524512,-4.001497
15.8000,0.173090,-0.681722,-3.392213
15.8400,0.142663,-0.795890,-2.376066
15.8800,0.109419,-0.871807,-1.800028
15.9200,0.072918,-0.939892,-1.364846
15.9600,0.034228,-0.980995,-0.905775
16.0000,-0.005561,-1.012354,-0.071159
16.0400,-0.046761,-0.986688,1.334659
16.0800,-0.084496,-0.905581,2.126537
16.1200,-0.119207,-0.816565,2.533801
16.1600,-0.149822,-0.702877,2.900238
16.2000,-0.175437,-0.584546,3.288805
16.2400,-0.196585,-0.439773,4.032877
16.2800,-0.210619,-0.261915,4.475467
16.3200,-0.217538,-0.081735,4.481045
16.3600,-0.217158,0.096568,4.492551
16.4000,-0.209813,0.277669,4.264416
16.4400,-0.194944,0.437721,3.730759
16.4800,-0.174795,0.576130,3.425771
16.5200,-0.148854,0.711783,3.309649
16.5600,-0.117853,0.840902,2.883144
16.6000,-0.081582,0.942435,1.657044
16.6400,-0.042458,0.973465,0.359535
16.6800,-0.003705,0.971197,-0.160863
16.7200,0.035238,0.960596,-0.372673
16.7600,0.073143,0.941384,-0.916597
16.8000,0.110549,0.887268,-2.155564
16.8400,0.144125,0.768938,-3.219020
16.8800,0.172064,0.629747,-3.554939
16.9200,0.194504,0.484543,-3.676686
16.9600,0.210827,0.335612,-3.947510
17.0000,0.221353,0.168743,-4.314704
17.0400,0.224327,-0.009565,-4.371304
17.0800,0.220588,-0.180962,-4.277655
17.1200,0.209850,-0.351777,-4.208000
17.1600,0.192446,-0.517602,-3.979942
17.2000,0.168442,-0.670172,-3.219686
17.2400,0.138832,-0.775177,-2.262250
17.2800,0.106427,-0.851152,-1.808574
17.3200,0.070740,-0.919863,-1.597305
17.3600,0.032838,-0.978937,-1.068075
17.4000,-0.007575,-1.005309,0.252226
17.4400,-0.047586,-0.958759,1.553653
17.4800,-0.084276,-0.881016,2.040677
17.5200,-0.118068,-0.795504,2.222685
17.5600,-0.147916,-0.703202,2.734656
17.6000,-0.174324,-0.576732,3.663420
17.6400,-0.194055,-0.410128,4.209233
17.6800,-0.207134,-0.239993,4.336198
17.7200,-0.213254,-0.063232,4.398908
17.7600,-0.212193,0.111919,4.177447
17.8000,-0.204301,0.270964,3.903136
17.8400,-0.190515,0.424170,3.811939
17.8800,-0.170367,0.575919,3.583924
17.9200,-0.144442,0.710884,3.290112
17.9600,-0.113496,0.839128,2.531778
18.0000,-0.077312,0.913426,1.249257
18.0400,-0.040422,0.939068,0.567686
18.0800,-0.002186,0.958841,0.140388
18.1200,0.036285,0.950299,-0.312965
18.1600,0.073838,0.933804,-1.038069
18.2000,0.110990,0.867254,-2.336606
18.2400,0.143218,0.746875,-3.087159
18.2800,0.170740,0.620281,-3.375056
18.3200,0.192840,0.476871,-3.627362
18.3600,0.208889,0.330092,-3.797283
18.4000,0.219248,0.173088,-4.153066
18.4400,0.222736,-0.002153,-4.399838
18.4800,0.219076,-0.178899,-4.341908
18.5200,0.208424,-0.349506,-4.199912
18.5600,0.191115,-0.514892,-3.681382
18.6000,0.167233,-0.644016,-2.869588
18.6400,0.139594,-0.744459,-2.446873
18.6800,0.107676,-0.839766,-2.080521
18.7200,0.072413,-0.910900,-1.669075
18.7600,0.034804,-0.973292,-0.852488
18.8000,-0.005451,-0.979099,0.545381
18.8400,-0.043524,-0.929662,1.324092
18.8800,-0.079824,-0.873172,1.724306
18.9200,-0.113377,-0.791717,2.120711
18.9600,-0.143161,-0.703515,2.635484
19.0000,-0.169659,-0.580878,3.564200
19.0400,-0.189631,-0.418379,4.109698
19.0800,-0.203129,-0.252103,4.243388
19.1200,-0.209800,-0.078908,4.310703
19.1600,-0.209442,0.092754,4.109668
19.2000,-0.202379,0.249865,3.869941
19.2400,-0.189452,0.402349,3.791792
19.2800,-0.170191,0.553209,3.570950
19.3200,-0.145196,0.688025,3.289225
19.3600,-0.115149,0.816347,2.545371
19.4000,-0.079888,0.891655,1.291335
19.4400,-0.043817,0.919653,0.628629
19.4800,-0.006316,0.941945,0.213732
19.5200,0.031538,0.936752,-0.229671
19.5600,0.068625,0.923571,-0.954217
19.6000,0.105424,0.860415,-2.242561
19.6400,0.137458,0.744166,-2.980688
19.6800,0.164957,0.621960,-3.263962
19.7200,0.187215,0.483049,-3.515753
19.7600,0.203601,0.340699,-3.703841
19.8000,0.214470,0.186742,-4.083579
19.8400,0.218541,0.014013,-4.331411
19.8800,0.215592,-0.159771,-4.306122
19.9200,0.205759,-0.330477,-4.171473
19.9600,0.189153,-0.493489,-3.608021
20.0000,0.166280,-0.619118,-2.831258
20.0400,0.139624,-0.719989,-2.464525
20.0800,0.108681,-0.816280,-2.310312
20.1200,0.074321,-0.904814,-1.833704
20.1600,0.036296,-0.962977,-0.572164
20.2000,-0.002717,-0.950587,0.712801
20.2400,-0.039751,-0.905953,1.205416
20.2800,-0.075193,-0.854154,1.376620
20.3200,-0.108083,-0.795823,1.848742
20.3600,-0.138859,-0.706255,2.894307
20.4000,-0.164584,-0.564279,3.734245
20.4400,-0.184001,-0.407515,3.964369
20.4800,-0.197185,-0.247129,4.007455
20.5200,-0.203771,-0.086919,4.120124
20.5600,-0.204139,0.082481,4.161915
20.6000,-0.197173,0.246035,3.907755
20.6400,-0.184456,0.395101,3.707595
20.6800,-0.165565,0.542642,3.620404
20.7200,-0.141044,0.684734,3.306714
20.7600,-0.110786,0.807179,2.299817
20.8000,-0.076470,0.868719,1.128454
20.8400,-0.041289,0.897456,0.644422
20.8800,-0.004674,0.920273,0.484218
20.9200,0.032333,0.936193,-0.029008
20.9600,0.070222,0.917952,-1.319164
21.0000,0.105769,0.830660,-2.503049
21.0400,0.136675,0.717708,-2.901042
21.0800,0.163186,0.598577,-3.015500
21.1200,0.184561,0.476468,-3.289899
